JT,Escape,EscapeTime,Ejection,JT_Clone,Clone
109266,in,3061600000.13447,3061600000.13447,109266_Clone_5,clone-5
157730,in,2139900000.3090441,2139900000.3090441,157730_Clone_5,clone-5
152517,in,1350600000.1050105,1350600000.1050105,152517_Clone_5,clone-5
131546,in,869800000.2590518,869800000.2590518,131546_Clone_5,clone-5
160534,in,1839400000.20762,1839400000.20762,160534_Clone_5,clone-5
120453,out,2309700000.3592486,2310000000.2601385,120453_Clone_5,clone-5
161701,in,2382100000.03276,2382100000.03276,161701_Clone_5,clone-5
137954,in,614200000.0856756,614200000.0856756,137954_Clone_5,clone-5
133862,in,3294000000.1961985,3294000000.1961985,133862_Clone_5,clone-5
114208,in,1085600000.0056994,1085600000.0056994,114208_Clone_5,clone-5
124695,out,3308800000.3151426,3309500000.347485,124695_Clone_5,clone-5
117832,out,2140500000.1108234,2140600000.3413856,117832_Clone_5,clone-5
152297,in,4025300000.3188133,4025300000.3188133,152297_Clone_5,clone-5
107178,in,2569300000.2655506,2569300000.2655506,107178_Clone_5,clone-5
107004,in,633600000.134724,633600000.134724,107004_Clone_5,clone-5
128383,out,3010900000.27736,3011100000.3430862,128383_Clone_5,clone-5
163189,in,3330400000.29638,3330400000.29638,163189_Clone_5,clone-5
130592,in,3819200000.0035896,3819200000.0035896,130592_Clone_5,clone-5
159342,in,1708200000.1897852,1708200000.1897852,159342_Clone_5,clone-5
101466,in,4186900000.04664,4186900000.04664,101466_Clone_5,clone-5
122862,out,4458100000.165106,4458300000.1438465,122862_Clone_5,clone-5
114141,out,2848500000.286627,2848600000.12179,114141_Clone_5,clone-5
111932,in,3596400000.3289227,3596400000.3289227,111932_Clone_5,clone-5
153083,out,3166000000.043784,3166800000.3066893,153083_Clone_5,clone-5
137879,in,2808400000.354409,2808400000.354409,137879_Clone_5,clone-5
163702,out,3757000000.123519,3757300000.024408,163702_Clone_5,clone-5
161489,out,2506900000.3197536,2507000000.1549172,161489_Clone_5,clone-5
156237,in,2340600000.035857,2340600000.035857,156237_Clone_5,clone-5
163263,in,3989000000.0537953,3989000000.0537953,163263_Clone_5,clone-5
161717,out,3628600000.235052,3629100000.201668,161717_Clone_5,clone-5
129134,out,3398300000.270349,3398400000.105513,129134_Clone_5,clone-5
182516,in,605200000.2911934,605200000.2911934,182516_Clone_5,clone-5
167686,in,216300000.3495248,216300000.3495248,167686_Clone_5,clone-5
180274,in,1701600000.3932185,1701600000.3932185,180274_Clone_5,clone-5
166230,out,512300000.0094398,512400000.2400031,166230_Clone_5,clone-5
181278,out,310100000.3827785,310100000.3827785,181278_Clone_5,clone-5
182161,in,2735300000.253157,2735300000.253157,182161_Clone_5,clone-5
166123,out,1671100000.0572615,1671300000.122988,166123_Clone_5,clone-5
178268,out,1110700000.1486466,1162000000.2029355,178268_Clone_5,clone-5
179133,out,119000000.24109817,119100000.06118679,179133_Clone_5,clone-5
180265,out,1259400000.18423,1259400000.18423,180265_Clone_5,clone-5
179190,in,4450300000.203421,4450300000.203421,179190_Clone_5,clone-5
175471,out,401500000.369285,401600000.20444816,175471_Clone_5,clone-5
171433,in,3092300000.1407533,3092300000.1407533,171433_Clone_5,clone-5
182121,in,1601600000.348282,1601600000.348282,182121_Clone_5,clone-5
166136,out,2529500000.234223,2529600000.069385,166136_Clone_5,clone-5
178291,in,4083400000.2353954,4083400000.2353954,178291_Clone_5,clone-5
182163,in,3680200000.1902304,3680200000.1902304,182163_Clone_5,clone-5
164208,in,2008900000.356936,2008900000.356936,164208_Clone_5,clone-5
195495,out,285300000.1407207,285300000.1407207,195495_Clone_5,clone-5
185919,in,208800000.0038784,208800000.0038784,185919_Clone_5,clone-5
199793,out,673900000.1326679,674200000.0335572,199793_Clone_5,clone-5
185666,out,1200700000.0704696,1200800000.3010323,185666_Clone_5,clone-5
192222,out,1225900000.0485795,1226100000.1143055,192222_Clone_5,clone-5
200023,out,805800000.1828445,806100000.0837339,200023_Clone_5,clone-5
195245,in,3753900000.0932617,3753900000.0932617,195245_Clone_5,clone-5
192964,out,162700000.30442482,163600000.2668224,192964_Clone_5,clone-5
199791,in,1057600000.2936213,1057600000.2936213,199791_Clone_5,clone-5
187692,in,613700000.1190599,613700000.1190599,187692_Clone_5,clone-5
199796,out,1151700000.1789324,1151800000.0140955,199796_Clone_5,clone-5
188373,in,3083400000.1814337,3083400000.1814337,188373_Clone_5,clone-5
187456,in,557700000.2995037,557700000.2995037,187456_Clone_5,clone-5
188006,in,2026700000.2755735,2026700000.2755735,188006_Clone_5,clone-5
184287,in,267200000.1120321,267200000.1120321,184287_Clone_5,clone-5
195467,in,1082400000.1402788,1082400000.1402788,195467_Clone_5,clone-5
190442,in,522600000.03344285,522600000.03344285,190442_Clone_5,clone-5
195084,out,2031200000.3705149,2050200000.288111,195084_Clone_5,clone-5
184988,out,979600000.3613752,979700000.1965383,184988_Clone_5,clone-5
190294,out,576100000.0199207,576700000.2170995,190294_Clone_5,clone-5
191075,in,3415200000.0909195,3415200000.0909195,191075_Clone_5,clone-5
192218,in,2395900000.2184725,2395900000.2184725,192218_Clone_5,clone-5
184977,in,968400000.239304,968500000.0744672,184977_Clone_5,clone-5
192966,in,3466800000.0460978,3466800000.0460978,192966_Clone_5,clone-5
189310,in,2047700000.0596325,2047700000.0596325,189310_Clone_5,clone-5
182522,out,3105100000.3932343,3105200000.228397,182522_Clone_5,clone-5
192345,out,1863100000.2858832,1863400000.1867726,192345_Clone_5,clone-5
200022,in,410900000.29521984,410900000.29521984,200022_Clone_5,clone-5
197624,out,948800000.1245292,948900000.3550924,197624_Clone_5,clone-5
189377,in,1109000000.1830733,1109000000.1830733,189377_Clone_5,clone-5
190458,in,1212200000.0934298,1212200000.0934298,190458_Clone_5,clone-5
195153,in,3656600000.34253,3656600000.34253,195153_Clone_5,clone-5
195505,in,1030300000.2184851,1030300000.2184851,195505_Clone_5,clone-5
188845,in,1996900000.3673594,1996900000.3673594,188845_Clone_5,clone-5
195490,in,1573700000.075967,1573700000.075967,195490_Clone_5,clone-5
195041,out,1063100000.3217939,1063200000.156957,195041_Clone_5,clone-5
193535,in,3895800000.2665524,3895800000.2665524,193535_Clone_5,clone-5
190665,out,4318300000.000196,4318400000.384966,190665_Clone_5,clone-5
191291,out,1788900000.0208359,1789000000.2513993,191291_Clone_5,clone-5
189215,in,2650300000.392891,2650300000.392891,189215_Clone_5,clone-5
184274,in,2286900000.379054,2286900000.379054,184274_Clone_5,clone-5
192448,in,2037400000.0356293,2037400000.0356293,192448_Clone_5,clone-5
187472,out,2269700000.2621946,2270100000.3936467,187472_Clone_5,clone-5
187436,in,3258900000.3255377,3258900000.3255377,187436_Clone_5,clone-5
190005,in,3230300000.0208807,3230300000.0208807,190005_Clone_5,clone-5
195287,out,4453200000.29056,4453500000.258671,195287_Clone_5,clone-5
197563,in,3674300000.030605,3674300000.030605,197563_Clone_5,clone-5
189616,in,1617400000.0050573,1617400000.0050573,189616_Clone_5,clone-5
191116,in,2930500000.3471985,2930500000.3471985,191116_Clone_5,clone-5
184929,in,2851500000.086321,2851500000.086321,184929_Clone_5,clone-5
184276,out,2158600000.3257504,2158800000.3914766,184276_Clone_5,clone-5
195412,out,4331500000.1786785,4331600000.168049,195412_Clone_5,clone-5
184981,in,2352900000.321724,2352900000.321724,184981_Clone_5,clone-5
196316,in,2303500000.298735,2303500000.298735,196316_Clone_5,clone-5
187657,in,3616800000.3112025,3616800000.3112025,187657_Clone_5,clone-5
183309,out,2356400000.0880337,2356500000.318597,183309_Clone_5,clone-5
188841,in,3896500000.298894,3896500000.298894,188841_Clone_5,clone-5
195324,in,4004300000.1393547,4004300000.1393547,195324_Clone_5,clone-5
191912,in,3143600000.195041,3143600000.195041,191912_Clone_5,clone-5
192343,out,4095800000.3564243,4096000000.0267506,192343_Clone_5,clone-5
198858,in,2753200000.006958,2753200000.006958,198858_Clone_5,clone-5
192268,in,4141100000.020525,4141100000.020525,192268_Clone_5,clone-5
214508,in,46000000.29889114,46000000.29889114,214508_Clone_5,clone-5
202797,in,424300000.34948,424300000.34948,202797_Clone_5,clone-5
200037,out,4432900000.075985,4433100000.054726,200037_Clone_5,clone-5
202752,out,122700000.30617708,122800000.1262657,202752_Clone_5,clone-5
213180,out,1649800000.3723135,1649900000.2074769,213180_Clone_5,clone-5
205380,out,2468700000.023436,2469200000.385452,205380_Clone_5,clone-5
201039,out,3460400000.315257,3460500000.1504197,201039_Clone_5,clone-5
204619,in,2148000000.005458,2148000000.005458,204619_Clone_5,clone-5
213491,in,979700000.1965383,979700000.1965383,213491_Clone_5,clone-5
200042,in,1208000000.2947779,1208100000.1299412,200042_Clone_5,clone-5
