date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,435778,-0.0076158887,0.000000011,-0.0025155422,4.08279115E-08,-0.0012309109,0.000000004,-1.5573024401,2.39563047E-05,4.5223519106,8.73588576E-06,0.3545167051,4.05643276E-06
 A.D. 2000-Jan-01 00:00:00.0000,436057,-0.0077663672,2.85441953E-09,0.00033812519999999995,2.75718279E-08,-0.0006586225,0.000000004,0.2288359373,0.000015861,4.929318487200001,9.50610487E-07,-0.6573516711,2.04214236E-06
 A.D. 2000-Jan-01 00:00:00.0000,436061,-0.0083470897,1.65865073E-09,-0.0001492834,7.47331086E-09,0.0006303425,2.73851154E-09,-0.0859729191,4.29619114E-06,4.5903520772,1.08815222E-06,0.5431486,2.43763E-06
 A.D. 2000-Jan-01 00:00:00.0000,436064,-0.008020309100000001,1.47726229E-09,-0.0007863387,2.53402151E-08,-0.0005511376,3.75068278E-09,-0.4317964925,0.000014829,4.7537707132,1.69345714E-06,-0.6690992102000001,1.68144613E-06
 A.D. 2000-Jan-01 00:00:00.0000,436065,-0.0071283128000000015,1.38718251E-09,-0.0001497864,4.08189253E-09,0.0017936503,2.41763695E-09,0.7486224637000001,3.04436788E-06,4.8871383124,1.34215784E-06,2.0053893129,2.44429183E-06
 A.D. 2000-Jan-01 00:00:00.0000,436066,-0.0074289876,4.28591482E-09,0.0003435565,0.000000032,0.0005194479,6.25311871E-09,0.4180008075,2.14142424E-05,5.1612046898,1.24629836E-06,0.9878185847,2.08014488E-06
 A.D. 2000-Jan-01 00:00:00.0000,436069,-0.0075301508,1.73457788E-09,-0.0027916568,6.94171317E-09,-0.0010468738,4.42644261E-09,-1.5106937301,5.26882703E-06,4.1097076728,3.25259529E-06,-2.08211666,3.16591894E-06
 A.D. 2000-Jan-01 00:00:00.0000,436072,-0.007291789,2.34580376E-09,-0.0010136039,0.000000029,-0.0006891178,0.000000002,-0.7459212548,1.94812557E-05,5.2922941278,3.11842105E-06,-0.3284831279,2.58982722E-06
 A.D. 2000-Jan-01 00:00:00.0000,436075,-0.0084363264,2.74417214E-09,2.40779256979118e-05,4.39263338E-08,-0.0008762425999999999,1.21993725E-08,0.0623793668,2.56994192E-05,4.4115324142,7.41715867E-07,-1.2290005033,0.000003039
 A.D. 2000-Jan-01 00:00:00.0000,436082,-0.0081711777,8.44834746E-09,-0.0012639392999999998,5.35016348E-08,0.0003701203,8.23388538E-09,-0.9637050691,3.19261056E-05,4.5462504505000005,0.000005402,0.7007249393000001,1.86045601E-06
 A.D. 2000-Jan-01 00:00:00.0000,436084,-0.0088777723,4.31456181E-09,-0.0011539785,3.52338234E-08,-0.0004816112,9.43788073E-09,-0.7416498006000001,1.96717167E-05,4.1023152013,3.21568016E-06,-1.0862055341,1.67280032E-06
 A.D. 2000-Jan-01 00:00:00.0000,436085,-0.007562597099999999,2.59945282E-09,-0.0008043295,4.35276326E-08,-0.0003497902,4.50157557E-09,-0.6436800816,2.95014995E-05,5.101259334,0.000003873,-0.5092182007,0.000002352
 A.D. 2000-Jan-01 00:00:00.0000,436097,-0.0074073356,1.12422429E-09,-0.0011869587,4.56260449E-09,0.001857748,2.90430423E-09,-0.604326176,3.61659194E-06,4.3964138154,1.63161526E-06,2.4577591313,2.64455843E-06
 A.D. 2000-Jan-01 00:00:00.0000,436101,-0.007761957299999999,0.000000024,0.0018609651,9.07418548E-08,0.0004608816000000001,1.40580669E-08,0.8743907682,5.80270944E-05,4.7345541616,1.14643702E-05,0.7116440541,4.3393645E-06
 A.D. 2000-Jan-01 00:00:00.0000,436107,-0.0075582383999999985,1.31175532E-09,2.16518896199053e-05,6.05024777E-09,-0.000777965,1.77139855E-09,-0.08908488960000001,0.00000416,5.1192922841,0.000000828,-0.2938407911,1.84941105E-06
 A.D. 2000-Jan-01 00:00:00.0000,436108,-0.0078043362,6.53842199E-09,-0.0019007735,3.19459903E-08,0.0006336499,5.19263884E-09,-1.2201126103,1.90761414E-05,4.65598823,5.04009111E-06,-0.7083528170000001,0.000001966
