date,Name,vx,vx_s,vy,vy_s,vz,vz_s,x,x_s,y,y_s,z,z_s
 A.D. 2000-Jan-01 00:00:00.0000,392227,-0.0072992184999999985,2.15886604E-08,-0.0034580931,0.00000005,-0.0005507693,4.64042807E-09,-2.1722528147,3.12520985E-05,4.3128515044,1.54682905E-05,-0.39947121659999996,3.0802219E-06
 A.D. 2000-Jan-01 00:00:00.0000,392239,-0.0071202491,5.93885651E-09,-0.0019654574,2.37999789E-08,0.0009630925999999999,2.4397975E-09,-1.5469807466999999,1.45625771E-05,4.9701173416,0.000004149,0.4098062061,2.60746455E-06
 A.D. 2000-Jan-01 00:00:00.0000,392309,-0.0065614973,4.7222297E-09,-0.0035737221,7.74066583E-09,0.0011414969,0.000000001,-2.7984509233,5.09112611E-06,4.3584642211,0.000002685,0.10452752779999999,1.24190259E-06
 A.D. 2000-Jan-01 00:00:00.0000,392460,-0.0074676551,7.55824739E-08,-0.0029538570000000003,2.08458918E-07,0.0011914571,2.80870793E-09,-1.7756589118000001,0.0001255014,4.497623928,4.79099026E-05,-0.019085499199999998,0.000019852
 A.D. 2000-Jan-01 00:00:00.0000,392461,-0.0074331992000000015,1.4767531E-08,-0.0025154871,5.17127649E-08,0.0010677816,3.51612686E-09,-1.5280106241999998,3.13977063E-05,4.7303666606,1.03881847E-05,0.3186917271,0.000004772
 A.D. 2000-Jan-01 00:00:00.0000,392462,-0.0070717014,7.34017706E-08,-0.0025745139,1.8740005E-07,0.0011121649,8.86291371E-09,-2.0793064249,0.0001251317,4.7454960879,4.41198611E-05,0.2623637865,1.97484156E-05
 A.D. 2000-Jan-01 00:00:00.0000,392703,-0.0080341272,3.54720959E-09,0.0002075828,6.14982989E-08,0.0012142718,3.30251743E-09,-0.0361174008,3.76423732E-05,4.8438181286,1.07632031E-06,0.1699475975,5.83007045E-06
 A.D. 2000-Jan-01 00:00:00.0000,393144,-0.0076922547,2.43251408E-09,-0.0020402487,8.89263261E-09,0.0011308525,1.5523981E-09,-1.3295212511,5.69287006E-06,4.706859805,1.78846282E-06,-0.1972467441,1.86975994E-06
 A.D. 2000-Jan-01 00:00:00.0000,396140,-0.0069792999,2.58838473E-09,-0.0028068158,7.13585411E-09,0.0006912488,1.5801512E-09,-1.8956109568000001,4.45171614E-06,4.7920296416,2.2427154E-06,-0.5103019332000001,1.28327035E-06
 A.D. 2000-Jan-01 00:00:00.0000,396159,-0.0080448455,1.6152761E-09,-0.0015500306,8.12686337E-09,0.000322066,1.76963296E-09,-0.7638571734999999,5.13636512E-06,4.6348138368,1.23010075E-06,0.5916588065999999,1.97065098E-06
 A.D. 2000-Jan-01 00:00:00.0000,396405,-0.007989349599999999,6.57159529E-09,-0.001609768,0.000000043,-9.444353249901312e-06,5.64098368E-09,-0.9323050536,0.000025674,4.6478818587,5.4337807E-06,0.5977409535,1.57272849E-06
 A.D. 2000-Jan-01 00:00:00.0000,398616,-0.0078287943,4.42954916E-09,0.0014610247,3.03024375E-08,0.0012070138000000001,2.24019657E-09,0.6308444103999999,1.70135048E-05,4.800669754499999,3.86982559E-06,0.048960487000000004,2.92330279E-06
 A.D. 2000-Jan-01 00:00:00.0000,398800,-0.0074400361,2.14581827E-09,0.0013281001,8.1095324E-09,0.0011244177,1.50645251E-09,0.9802664431999999,5.19009382E-06,5.0234233073,1.36063146E-06,0.039465025699999996,1.29243086E-06
